Date,Time Started,Time Ended,Total Time,Activity
2020-09-16,8:20 AM,8:50 AM,0:30,How to use google assignment
2020-09-16,12:30 PM,1:10 PM,0:40,"met with ms. Fleming, made new biweekly list, watched student article presentations"
2020-09-17,8:36 AM,9:25 AM,0:49,"watched 2 sophomore article presentations, worked on ppt"
2020-09-17,5:05 PM,5:45 PM,0:40,Worked on presentation ppt
2020-09-18,8:40 AM,9:20 AM,0:40,Worked on google scavenger hunt
2020-09-21,8:35 AM,9:20 AM,0:45,"Lesson, worked on outline, figures"
2020-09-21,11:20 AM,11:40 AM,0:20,Worked on figures
2020-09-22,8:40 AM,9:20 AM,0:40,"review google thing, ppt"
2020-09-22,4:55 PM,6:00 PM,1:05,Worked on figures
2020-09-23,8:15 AM,8:45 AM,0:30,Worked on elevator pitch
2020-09-23,3:00 PM,3:30 PM,0:30,Contacted mentor
2020-09-24,8:35 AM,9:20 AM,0:45,"lesson, worked on elevator speech"
2020-09-25,8:35 AM,9:20 AM,0:45,"watched 1 sophomore presentation, 10 introduction videos"
2020-09-25,4:00 PM,5:28 PM,1:28,Worked on figures
2020-09-29,8:40 AM,9:25 AM,0:45,Worked on presentation ppt
2020-09-29,10:53 AM,11:18 AM,0:25,Worked on presentation ppt
2020-09-29,2:35 AM,3:15 AM,0:40,Worked on presentation script
2020-09-29,8:40 PM,9:00 PM,0:20,Downloaded journal article
2020-09-30,8:15 AM,8:50 AM,0:35,Worked on database assignment
2020-09-30,10:00 AM,10:15 AM,0:15,Worked on database assignment
2020-09-30,12:13 PM,1:15 PM,1:02,Worked on database assignment and presentation
2020-09-30,5:50 PM,6:26 PM,0:36,Signed up for SUNY Albany UHS credit
2020-09-30,7:35 AM,7:50 AM,0:15,organized computer
2020-10-01,8:40 AM,9:25 AM,0:45,lesson on computer organization
2020-10-01,7:00 PM,8:06 PM,1:06,Worked on presentation ppt
2020-10-02,8:40 AM,9:25 AM,0:45,"presented elevator speech, worked on ppt script"
2020-10-04,10:00 AM,11:26 AM,1:26,"UHS enrollment form, worked on paper outline"
2020-10-05,8:36 AM,9:25 AM,0:49,lesson on science direct
2020-10-05,11:07 AM,11:37 AM,0:30,Worked on presentation
2020-10-06,8:38 AM,9:23 AM,0:45,general interest article lesson
2020-10-06,6:45 AM,7:15 AM,0:30,"Practiced presentation, submitted biweekly"
2020-10-07,8:16 AM,8:45 AM,0:29,information on competitions
2020-10-08,8:35 AM,9:20 AM,0:45,parts of a journal article
2020-10-09,8:35 AM,9:20 AM,0:45,"worked on ppt, got biweekly"
2020-10-11,7:00 PM,7:28 PM,0:28,"started wesef forms, worked on paper"
2020-10-11,8:00 AM,8:30 AM,0:30,"worked on paper, contacted mentor"
2020-10-12,3:00 PM,3:50 PM,0:50,Worked on presentation
2020-10-13,8:35 AM,9:20 AM,0:45,"citation lesson, worked on paper, worked on ppt"
2020-10-13,9:22 PM,10:06 PM,0:44,Practiced elevator pitch and presentation
2020-10-14,5:30 PM,5:58 PM,0:28,edited presentation to conform to requirements
2020-10-15,8:35 PM,9:20 PM,0:45,lesson on presentation assignment
2020-10-15,7:53 PM,8:26 PM,0:33,Worked on ppt
2020-10-16,8:35 AM,9:25 AM,0:50,"Worked on ppt, contacted mentor"
2020-10-18,10:05 AM,12:05 PM,2:00,Worked on data
2020-10-19,8:35 AM,9:20 AM,0:45,Plagiarism assignment
2020-10-19,10:35 AM,10:50 AM,0:15,Worked on ppt
2020-10-19,9:00 PM,9:20 PM,0:20,Practiced elevator pitch
2020-10-20,8:35 AM,9:20 AM,0:45,plagiarism assignment
2020-10-20,10:42 AM,11:42 AM,1:00,"plagiarism assignment, worked on presentation with mentor's feedback, contacted mentor"
2020-10-21,8:17 AM,9:00 AM,0:43,learned about recording ppt
2020-10-21,12:00 PM,12:41 PM,0:41,Practiced recording
2020-10-22,8:35 AM,9:20 AM,0:45,Youtube upload lesson
2020-10-23,8:35 AM,9:20 AM,0:45,Plagiarism activity
2020-10-26,8:36 AM,9:21 AM,0:45,worked on ppt
2020-10-26,11:00 AM,11:22 AM,0:22,"Got new biweekly, contacted mentor about dataset"
2020-10-26,3:20 PM,3:30 PM,0:10,ill request for book
2020-10-26,7:00 PM,7:50 PM,0:50,"Practiced things with Marcus, exchanged feedback on ppts and elevator scripts"
2020-10-27,8:02 AM,9:20 AM,1:18,"worked on paper, recorded presentation"
