"";"date";"mean";"se";"case"
"1";1850;NA;NA;"Full Forcing"
"2";1850,08302889406;NA;NA;"Full Forcing"
"3";1850,16605778811;NA;NA;"Full Forcing"
"4";1850,24908668217;NA;NA;"Full Forcing"
"5";1850,33211557622;NA;NA;"Full Forcing"
"6";1850,41514447028;NA;NA;"Full Forcing"
"7";1850,49817336433;NA;NA;"Full Forcing"
"8";1850,58120225839;NA;NA;"Full Forcing"
"9";1850,66423115244;NA;NA;"Full Forcing"
"10";1850,7472600465;NA;NA;"Full Forcing"
"11";1850,83028894055;NA;NA;"Full Forcing"
"12";1850,91331783461;NA;NA;"Full Forcing"
"13";1850,99634672866;NA;NA;"Full Forcing"
"14";1851,07937562272;NA;NA;"Full Forcing"
"15";1851,16240451677;NA;NA;"Full Forcing"
"16";1851,24543341083;NA;NA;"Full Forcing"
"17";1851,32846230488;NA;NA;"Full Forcing"
"18";1851,41149119894;NA;NA;"Full Forcing"
"19";1851,49452009299;NA;NA;"Full Forcing"
"20";1851,57754898705;NA;NA;"Full Forcing"
"21";1851,6605778811;NA;NA;"Full Forcing"
"22";1851,74360677516;NA;NA;"Full Forcing"
"23";1851,82663566921;NA;NA;"Full Forcing"
"24";1851,90966456327;NA;NA;"Full Forcing"
"25";1851,99269345732;NA;NA;"Full Forcing"
"26";1852,07572235138;NA;NA;"Full Forcing"
"27";1852,15875124543;NA;NA;"Full Forcing"
"28";1852,24178013949;NA;NA;"Full Forcing"
"29";1852,32480903354;NA;NA;"Full Forcing"
"30";1852,4078379276;NA;NA;"Full Forcing"
"31";1852,49086682165;NA;NA;"Full Forcing"
"32";1852,57389571571;NA;NA;"Full Forcing"
"33";1852,65692460976;NA;NA;"Full Forcing"
"34";1852,73995350382;NA;NA;"Full Forcing"
"35";1852,82298239787;NA;NA;"Full Forcing"
"36";1852,90601129193;NA;NA;"Full Forcing"
"37";1852,98904018598;NA;NA;"Full Forcing"
"38";1853,07206908004;NA;NA;"Full Forcing"
"39";1853,1550979741;NA;NA;"Full Forcing"
"40";1853,23812686815;NA;NA;"Full Forcing"
"41";1853,32115576221;NA;NA;"Full Forcing"
"42";1853,40418465626;NA;NA;"Full Forcing"
"43";1853,48721355032;NA;NA;"Full Forcing"
"44";1853,57024244437;NA;NA;"Full Forcing"
"45";1853,65327133843;NA;NA;"Full Forcing"
"46";1853,73630023248;NA;NA;"Full Forcing"
"47";1853,81932912654;NA;NA;"Full Forcing"
"48";1853,90235802059;NA;NA;"Full Forcing"
"49";1853,98538691465;NA;NA;"Full Forcing"
"50";1854,0684158087;NA;NA;"Full Forcing"
"51";1854,15144470276;NA;NA;"Full Forcing"
"52";1854,23447359681;NA;NA;"Full Forcing"
"53";1854,31750249087;NA;NA;"Full Forcing"
"54";1854,40053138492;NA;NA;"Full Forcing"
"55";1854,48356027898;NA;NA;"Full Forcing"
"56";1854,56658917303;NA;NA;"Full Forcing"
"57";1854,64961806709;NA;NA;"Full Forcing"
"58";1854,73264696114;NA;NA;"Full Forcing"
"59";1854,8156758552;NA;NA;"Full Forcing"
"60";1854,89870474925;NA;NA;"Full Forcing"
"61";1854,98173364331;NA;NA;"Full Forcing"
"62";1855,06476253736;NA;NA;"Full Forcing"
"63";1855,14779143142;NA;NA;"Full Forcing"
"64";1855,23082032547;NA;NA;"Full Forcing"
"65";1855,31384921953;NA;NA;"Full Forcing"
"66";1855,39687811358;NA;NA;"Full Forcing"
"67";1855,47990700764;NA;NA;"Full Forcing"
"68";1855,56293590169;NA;NA;"Full Forcing"
"69";1855,64596479575;NA;NA;"Full Forcing"
"70";1855,7289936898;NA;NA;"Full Forcing"
"71";1855,81202258386;NA;NA;"Full Forcing"
"72";1855,89505147791;NA;NA;"Full Forcing"
"73";1855,97808037197;NA;NA;"Full Forcing"
"74";1856,06110926602;NA;NA;"Full Forcing"
"75";1856,14413816008;NA;NA;"Full Forcing"
"76";1856,22716705413;NA;NA;"Full Forcing"
"77";1856,31019594819;NA;NA;"Full Forcing"
"78";1856,39322484224;NA;NA;"Full Forcing"
"79";1856,4762537363;NA;NA;"Full Forcing"
"80";1856,55928263036;NA;NA;"Full Forcing"
"81";1856,64231152441;NA;NA;"Full Forcing"
"82";1856,72534041847;NA;NA;"Full Forcing"
"83";1856,80836931252;NA;NA;"Full Forcing"
"84";1856,89139820658;NA;NA;"Full Forcing"
"85";1856,97442710063;NA;NA;"Full Forcing"
"86";1857,05745599469;NA;NA;"Full Forcing"
"87";1857,14048488874;NA;NA;"Full Forcing"
"88";1857,2235137828;NA;NA;"Full Forcing"
"89";1857,30654267685;NA;NA;"Full Forcing"
"90";1857,38957157091;NA;NA;"Full Forcing"
"91";1857,47260046496;NA;NA;"Full Forcing"
"92";1857,55562935902;NA;NA;"Full Forcing"
"93";1857,63865825307;NA;NA;"Full Forcing"
"94";1857,72168714713;NA;NA;"Full Forcing"
"95";1857,80471604118;NA;NA;"Full Forcing"
"96";1857,88774493524;NA;NA;"Full Forcing"
"97";1857,97077382929;NA;NA;"Full Forcing"
"98";1858,05380272335;NA;NA;"Full Forcing"
"99";1858,1368316174;NA;NA;"Full Forcing"
"100";1858,21986051146;NA;NA;"Full Forcing"
"101";1858,30288940551;NA;NA;"Full Forcing"
"102";1858,38591829957;NA;NA;"Full Forcing"
"103";1858,46894719362;NA;NA;"Full Forcing"
"104";1858,55197608768;NA;NA;"Full Forcing"
"105";1858,63500498173;NA;NA;"Full Forcing"
"106";1858,71803387579;NA;NA;"Full Forcing"
"107";1858,80106276984;NA;NA;"Full Forcing"
"108";1858,8840916639;NA;NA;"Full Forcing"
"109";1858,96712055795;NA;NA;"Full Forcing"
"110";1859,05014945201;NA;NA;"Full Forcing"
"111";1859,13317834606;NA;NA;"Full Forcing"
"112";1859,21620724012;NA;NA;"Full Forcing"
"113";1859,29923613417;NA;NA;"Full Forcing"
"114";1859,38226502823;NA;NA;"Full Forcing"
"115";1859,46529392228;NA;NA;"Full Forcing"
"116";1859,54832281634;NA;NA;"Full Forcing"
"117";1859,6313517104;NA;NA;"Full Forcing"
"118";1859,71438060445;NA;NA;"Full Forcing"
"119";1859,79740949851;NA;NA;"Full Forcing"
"120";1859,88043839256;NA;NA;"Full Forcing"
"121";1859,96346728662;NA;NA;"Full Forcing"
"122";1860,04649618067;NA;NA;"Full Forcing"
"123";1860,12952507473;NA;NA;"Full Forcing"
"124";1860,21255396878;NA;NA;"Full Forcing"
"125";1860,29558286284;NA;NA;"Full Forcing"
"126";1860,37861175689;NA;NA;"Full Forcing"
"127";1860,46164065095;NA;NA;"Full Forcing"
"128";1860,544669545;NA;NA;"Full Forcing"
"129";1860,62769843906;NA;NA;"Full Forcing"
"130";1860,71072733311;NA;NA;"Full Forcing"
"131";1860,79375622717;NA;NA;"Full Forcing"
"132";1860,87678512122;NA;NA;"Full Forcing"
"133";1860,95981401528;NA;NA;"Full Forcing"
"134";1861,04284290933;NA;NA;"Full Forcing"
"135";1861,12587180339;NA;NA;"Full Forcing"
"136";1861,20890069744;NA;NA;"Full Forcing"
"137";1861,2919295915;NA;NA;"Full Forcing"
"138";1861,37495848555;NA;NA;"Full Forcing"
"139";1861,45798737961;NA;NA;"Full Forcing"
"140";1861,54101627366;NA;NA;"Full Forcing"
"141";1861,62404516772;NA;NA;"Full Forcing"
"142";1861,70707406177;NA;NA;"Full Forcing"
"143";1861,79010295583;NA;NA;"Full Forcing"
"144";1861,87313184988;NA;NA;"Full Forcing"
"145";1861,95616074394;NA;NA;"Full Forcing"
"146";1862,03918963799;NA;NA;"Full Forcing"
"147";1862,12221853205;NA;NA;"Full Forcing"
"148";1862,2052474261;NA;NA;"Full Forcing"
"149";1862,28827632016;NA;NA;"Full Forcing"
"150";1862,37130521421;NA;NA;"Full Forcing"
"151";1862,45433410827;NA;NA;"Full Forcing"
"152";1862,53736300232;NA;NA;"Full Forcing"
"153";1862,62039189638;NA;NA;"Full Forcing"
"154";1862,70342079044;NA;NA;"Full Forcing"
"155";1862,78644968449;NA;NA;"Full Forcing"
"156";1862,86947857855;NA;NA;"Full Forcing"
